fr-FR,en-US,de-DE,es-ES,id-ID,it-IT,nl-NL,pt-BR
Gentil,Kind,Freundlich,Amable,Baik,Gentile,Aardig,Gentil
Beau,Beautiful,Schon,Hermosa,Cantik,Bellissimo,Mooi,Bonito
Fort,Strong,Stark,Fuerte,Kuat,Forte,Sterk,Forte
Lumineux,Bright,Hell,Brillante,Cerah,Luminoso,Helder,Brilhante
Joyeux,Cheerful,Frohlich,Alegre,Ceria,Allegro,Vrolijk,Alegre
Heureux,Happy,Glucklich,Feliz,Bahagia,Felice,Gelukkig,Feliz
Radieux,Radiant,Strahlend,Radiante,Bercahaya,Radiante,Stralend,Radiante
Inspirant,Inspiring,Inspirierend,Inspiradora,Menginspirasi,Ispiratore,Inspirerend,Inspirador
Passionnant,Exciting,Aufregend,Emocionante,Menyenangkan,Emozionante,Opwindend,Emocionante
Apaisant,Soothing,Beruhigend,Tranquilizadora,Lembut,Lenitivo,Rustig,Calmante
Doux,Gentle,Sanft,Suave,Terpenuhi,Delicato,Zacht,Gentil
√âpanoui,Fulfilled,Erfullt,Realizada,Cemerlang,Soddisfatto,Vervuld,Realizado
Brillant,Brilliant,Brillant,Brillante,Dermawan,Brillante,Briljant,Brilhante
G√©n√©reux,Generous,Grosszugig,Generosa,Menawan,Generoso,Grootmoedig,Generoso
Charmant,Charming,Charmant,Encantadora,Hebat,Affascinante,Charmant,Charmoso
Merveilleux,Wonderful,Wunderbar,Maravillosa,Antusias,Meraviglioso,Prachtig,Maravilhoso
Enthousiaste,Enthusiastic,Begeistert,Entusiasta,Tenang,Entusiasta,Enthousiast,Entusiasmado
Serein,Serene,Gelassen,Serena,Ajaib,Sereno,Sereen,Sereno
Magique,Magical,Magisch,M·gica,Positif,Magico,Magisch,M·gico
Positif,Positive,Positiv,Positiva,Kreatif,Positivo,Positief,Positivo
Cr√©atif,Creative,Kreativ,Creativa,Energik,Creativo,Creatief,Criativo
√ânergique,Energetic,Energisch,Energ√©tica,Berbakat,Energetico,Energetisch,Energ√©tico
Talentueux,Talented,Talentiert,Talentosa,Tersenyum,Di talento,Getalenteerd,Talentoso
Souriant,Smiling,Lachelnd,Sonriente,Berani,Sorridente,Glimlachend,Sorridente
Audacieux,Bold,Mutig,Audaz,Hati hangat,Audace,Stoutmoedig,Ousado
Chaleureux,Warmhearted,Herzlich,Afectuosa,Peduli,Caloroso,Warmhartig,Caloroso
Bienveillant,Caring,Fursorglich,CariÒosa,Luar biasa,Premuroso,Zorgzaam,Carinhoso
Magnifique,Magnificent,Prachtvoll,MagnÌfica,Bijaksana,Magnifico,Prachtig,MagnÌfico
Sage,Wise,Weise,Sabia,Berani,Saggio,Wijs,S·bio
Courageux,Courageous,Tapfer,Valiente,Inovatif,Coraggioso,Moedig,Corajoso
Innovant,Innovative,Innovativ,Innovadora,Bersinar,Innovativo,Innovatief,Inovador
Rayonnant,Glowing,Leuchtend,Brillante,Harmonis,Raggiante,Gloeiend,Brilhante
Harmonieux,Harmonious,Harmonisch,Armoniosa,Menawan,Armonioso,Harmonieus,Harmonioso
Captivant,Captivating,Fesselnd,Cautivadora,Menyenangkan,Affascinante,Boeiend,Cativante
Amusant,Fun,Lustig,Divertida,Kuat,Divertente,Plezier,Divertido
Puissant,Powerful,Machtig,Poderosa,Optimis,Potente,Krachtig,Poderoso
Optimiste,Optimistic,Optimistisch,Optimista,Kelembutan,Ottimista,Optimistisch,Otimista
Douceur,Softness,Sanftheit,Suavidad,Mempesona,Delicatezza,Zachtheid,Suavidade
√âclatant,Dazzling,Schillernd,Deslumbrante,Bebas,Abbastanzante,Verblindend,Deslumbrante
Libre,Free,Frei,Libre,Terinspirasi,Libero,Vrij,Livre
Inspir√©,Inspired,Inspiriert,Inspirada,Baik hati,Ispirato,GeÔnspireerd,Inspirado
Aimable,Kind-hearted,Gutherzig,Bonita,Menyegarkan,Di buon cuore,Vriendelijk,Bondoso
Vivifiant,Refreshing,Erfrischend,Refrescante,Hebat,Rinfrescante,Verfrissend,Refrescante
Splendide,Splendid,Groﬂartig,Espl√©ndida,Mengejutkan,Splendido,Prachtig,EsplÍndido
Surprenant,Surprising,uberraschend,Sorprendente,Bersyukur,Sorprendente,Verrassend,Surpreendente
Reconnaissant,Grateful,Dankbar,Agradecida,Menarik,Grato,Dankbaar,Grato
Int√©ressant,Interesting,Interessant,Interesante,Emosional,Interessante,Interessant,Interessante
√âmotif,Emotional,Emotional,Emocional,Damai,Emotivo,Emotioneel,Emocional
Paisible,Peaceful,Friedlich,PacÌfica,Terpesona,Pace,Vreedzaam,PacÌfico
Charm√©,Charmed,Verzaubert,Encantada,Menang,Affascinato,Betoverd,Encantado
Triomphant,Victorious,Siegreich,Victoriosa,J olly,Vittorioso,Overwinnend,Vitorioso
Jovial,Jolly,Frohlich,J olly,Mendorong,J olly,J olly,J olly
Encourageant,Encouraging,Ermutigend,Alentador,Pikiran,Incoraggiante,Aanmoedigend,Encorajador
Attentif,Thoughtful,Nachsichtig,Considerado,Bermanfaat,Pensoso,Bedachtzaam,Pensativo
Bienfaisant,Beneficial,Vorteilhaft,Beneficioso,Halus,Benefico,Nuttig,Ben√©fico
Fluide,Smooth,Geschmeidig,Suave,Memotivasi,Liscio,Soepel,Suave
Motivant,Motivating,Motivierend,Motivador,Unik,Motivante,Motiverend,Motivador
Unique,Unique,Einzigartig,⁄nico,Menggemaskan,Unico,Uniek,⁄nico
Adorable,Adorable,Entzuckend,Adorable,Segar,Adorabile,Aanbiddelijk,Ador·vel
Frais,Fresh,Frisch,Fresco,Penasaran,Fresco,Fris,Fresco
Curieux,Curious,Neugierig,Curioso,Pelindung,Curioso,Nieuwsgierig,Curioso
Protecteur,Protective,Schutzend,Protector,Percaya diri,Protettivo,Beschermend,Protetor
Confiant,Confident,Selbstbewusst,Confiado,Bersemangat,Fiducioso,Zelfverzekerd,Confiante
√âlev√©,Elevated,Erhaben,Elevado,Cerah,Elevato,Verheven,Elevado
Ensoleill√©,Sunny,Sonnig,Soleado,Fantastis,Solare,Zonnig,Ensolarado
Fantastique,Fantastic,Fantastisch,Fant·stico,Penuh kasih sayang,Fantastico,Fantastisch,Fant·stico
Affectueux,Affectionate,Zartlich,Afectuoso,Mencerahkan,Affettuoso,Liefhebbend,Afetuoso
√âclaireur,Illuminating,Erhellend,Iluminador,Menarik,Illuminante,Verlichtend,Iluminador
Fascinant,Fascinating,Faszinierend,Fascinante,Meremajakan,Affascinante,Fascinerend,Fascinante
Ressour√ßant,Rejuvenating,Verjungend,Rejuvenecedor,Santai,Ringiovanitore,Verjongend,Rejuvenescedor
D√©tendu,Relaxed,Entspannt,Relajado,Menarik,Rilassato,Ontspannen,Relaxado
S√©duisant,Attractive,Attraktiv,Atractivo,Mengesankan,Attraente,Aantrekkelijk,Atraente
Impressionnant,Impressive,Beeindruckend,Impresionante,Tak tertahankan,Impressionante,Indrukwekkend,Impressionante
Irr√©sistible,Irresistible,Unwiderstehlich,Irresistible,Dalam,Irresistibile,Onweerstaanbaar,IrresistÌvel
Profond,Deep,Tief,Profundo,Bercahaya,Profondo,Diep,Profundo
Lumineuse,Luminous,Leuchtend,Luminoso,Terjaga,Luminoso,Lichtgevend,Luminoso
√âveill√©,Awake,Wach,Despierto,Berkelas,Sveglio,Wakker,Desperto
Raffin√©,Refined,Verfeinert,Refinado,Hati-hati,Raffinato,Verfijnd,Refinado
Soigneux,Careful,Vorsichtig,Cuidadoso,Berjaya,Attento,Voorzichtig,Cuidadoso
Triomphal,Triumphant,Triumphal,Triunfante,Gembira,Trionfante,Triomfantelijk,Triunfante
Jovialit√©,Joyful,Freudig,Alegre,Ramah,Gioioso,Vrolijk,Alegre
Sympathique,Friendly,Freundlich,Amable,Berseri-seri,Amichevole,Vriendelijk,Amig·vel
Radieux,Radiant,Strahlend,Radiante,Kemanusiaan,Radiante,Stralend,Radiante
Humaniste,Humanitarian,Humanitar,Humanitario,Konten,Umanitario,Humanitair,Humanit·rio
Satisfait,Content,Zufrieden,Contenido,Berkobar,Soddisfatto,Tevreden,Conte˙do
√âblouissant,Blazing,Flammend,Ardiendo,Seimbang,Fiammeggiante,Vlammend,Ardente
√âquilibr√©,Balanced,Ausgeglichen,Equilibrado,Menakjubkan,Equilibrato,Evenwichtig,Equilibrado
Surprenant,Astonishing,Erstaunlich,Sorprendente,Masuk akal,Sorprendente,Verbazingwekkend,Surpreendente
Sage,Sensible,Vernunftig,Sensible,Dihargai,Sensibile,Verstandig,SensÌvel
Valoris√©,Valued,Geschatzt,Valorado,Hormat,Valutato,Gewaardeerd,Valorizado
Respectueux,Respectful,Respektvoll,Respetuoso,Karismatik,Rispettoso,Respectvol,Respeitoso
Charismatique,Charismatic,Charismatisch,Carism·tico,Antusiasme,Carismatico,Charismatisch,Carism·tico
Enthousiasme,Enthusiasm,Begeisterung,Entusiasmo,Keceriaan,Entusiasmo,Enthousiasme,Entusiasmo
Jovialit√©,Joviality,Heiterkeit,Jovialidad,Keberanian,Giovialit‡,Jovialiteit,Jovialidade
Bravoure,Bravery,Tapferkeit,ValoraciÛn,Diakui,Coraggio,Moed,Bravura
Reconnu,Recognized,Anerkannt,Reconocido,Spontan,Riconosciuto,Erkend,Reconhecido
Spontan√©,Spontaneous,Spontan,Espont·neo,Melamun,Spontaneo,Spontaan,Espont‚neo
R√™veur,Dreamy,Traumerisch,SoÒador,Tenang,Sognatore,Dromerig,Sonhador
Solide,Steady,Stetig,Firme,Indah,Stabile,Stabiel,Constante
Exquis,Exquisite,Kostlich,Exquisito,Meremajakan,Squisito,Exquis,Requintado
