fr-FR,en-US,de-DE,es-ES,id-ID,it-IT,nl-NL,pt-BR
MÃ©chant,Mean,Gemein,Malo,Jahat,Cattivo,Gemeen,Médio
Laid,Ugly,Hässlich,Feo,Jelek,Brutto,Lelijk,Feio
Faible,Weak,Schwach,Débil,Lemah,Debole,Zwak,Fraco
Sombre,Dark,Dunkel,Oscuro,Gelap,Oscuro,Donker,Escuro
Triste,Sad,Traurig,Triste,Sedih,Triste,Verdrietig,Triste
Malheureux,Unhappy,Unglücklich,Infeliz,Tidak bahagia,Infelice,Ongelukkig,Infeliz
Terne,Dull,Langweilig,Aburrido,Membosankan,Noioso,Saai,Sem graça
DÃ©moralisant,Discouraging,Entmutigend,Desalentador,Membosankan,Scoraggiante,Ontmoedigend,Desanimador
Ennuyeux,Boring,Langweilig,Aburrido,Menekankan,Noioso,Saai,Chato
Stressant,Stressful,Stressig,Estresante,Kasar,Stressante,Stressvol,Estressante
Rude,Harsh,Hart,Duro,Tertindas,Duro,Hard,Duro
OppressÃ©,Oppressed,Unterdrückt,Oprimido,Biasa-biasa saja,Oppresso,Onderdrukt,Oprimido
MÃ©diocre,Unremarkable,Unauffällig,No destacable,Egois,Insignificante,Onopvallend,Badroso
Ã‰goÃ¯ste,Selfish,Egoistisch,Egoísta,Tidak menyenangkan,Egoista,Egoïstisch,Egoísta
DÃ©sagrÃ©able,Unpleasant,Unangenehm,Desagradable,Mengerikan,Sgradevole,Onaangenaam,Desagradável
Horrible,Horrible,Schrecklich,Horrible,Apatis,Orribile,Verschrikkelijk,Horrível
Apathique,Apathetic,Apathisch,Apático,Cemas,Apatico,Apathisch,Apático
Anxieux,Anxious,Ängstlich,Ansioso,Biasa saja,Ansioso,Angstig,Ansioso
Banal,Ordinary,Gewöhnlich,Ordinario,Negatif,Ordinario,Normaal,Comum
NÃ©gatif,Negative,Negativ,Negativo,Kaku,Negativo,Negatief,Negativo
Rigide,Rigid,Starr,Rígido,Kelelahan,Rigido,Streng,Rígido
Ã‰puisÃ©,Exhausted,Erschöpft,Agotado,Tidak kompeten,Esausto,Uitgeput,Exausto
IncompÃ©tent,Incompetent,Inkompetent,Incompetente,Cemberut,Incompetente,Incompetent,Incompetente
Maussade,Sullen,Mürrisch,Hosco,Pemalu,Cupo,Somber,Tentoso
Timide,Shy,Schüchtern,Tímido,Berhati dingin,Timido,Verlegen,Tímido
Froid,Cold-hearted,Kaltherzig,Insensible,Acuh tak acuh,Freddo,Koudhartig,Frio
IndiffÃ©rent,Indifferent,Gleichgültig,Indiferente,Biasa saja,Indifferente,Onverschillig,Indiferente
MÃ©diocre,Mediocre,Mittelmäßig,Mediocre,Ceroboh,Mediocre,Middelmatig,Medíocre
Imprudent,Reckless,Rücksichtslos,Temerario,Pengecut,Spericolato,Roekeloos,Imprudente
LÃ¢che,Cowardly,Feig,Cobarde,Konservatif,Codardo,Laf,Covarde
Conservateur,Conservative,Konservativ,Conservador,Membosankan,Conservatore,Conservatief,Conservador
